"score","formatted","label","num_tweets"
0,69375,"Bengals",NA
0,69417,"Bengals",NA
3,70242,"Bengals",NA
3,72189,"Bengals",NA
3,72300,"Bengals",NA
3,73018,"Bengals",NA
3,73066,"Bengals",NA
9,73496,"Bengals",NA
10,73543,"Bengals",NA
10,76360,"Bengals",NA
6,69375,"Broncos",NA
7,69417,"Broncos",NA
7,70242,"Broncos",NA
13,72189,"Broncos",NA
14,72300,"Broncos",NA
20,73018,"Broncos",NA
21,73066,"Broncos",NA
21,73496,"Broncos",NA
21,73543,"Broncos",NA
24,76360,"Broncos",NA
NA,66813,"TWEETS",10
NA,67893,"TWEETS",15
NA,68973,"TWEETS",11
NA,70053,"TWEETS",9
NA,71133,"TWEETS",15
NA,72213,"TWEETS",7
NA,73293,"TWEETS",17
NA,74373,"TWEETS",16
NA,75453,"TWEETS",12
NA,76533,"TWEETS",12
