"score","formatted","label","num_tweets"
0,47410,"Bengals",NA
0,47532,"Bengals",NA
0,48752,"Bengals",NA
0,48813,"Bengals",NA
0,49911,"Bengals",NA
0,49972,"Bengals",NA
0,51193,"Bengals",NA
0,51315,"Bengals",NA
6,52230,"Bengals",NA
7,52230,"Bengals",NA
7,54335,"Bengals",NA
13,55037,"Bengals",NA
14,55098,"Bengals",NA
20,56806,"Bengals",NA
6,47410,"Browns",NA
7,47532,"Browns",NA
13,48752,"Browns",NA
14,48813,"Browns",NA
20,49911,"Browns",NA
21,49972,"Browns",NA
27,51193,"Browns",NA
28,51315,"Browns",NA
28,52230,"Browns",NA
28,52230,"Browns",NA
34,53633,"Browns",NA
35,54335,"Browns",NA
35,55037,"Browns",NA
35,56806,"Browns",NA
NA,46800,"TWEETS",25
NA,47700,"TWEETS",24
NA,48600,"TWEETS",31
NA,49500,"TWEETS",16
NA,50400,"TWEETS",36
NA,51300,"TWEETS",27
NA,52200,"TWEETS",21
NA,53100,"TWEETS",18
NA,54000,"TWEETS",24
NA,54900,"TWEETS",22
NA,55800,"TWEETS",20
NA,56700,"TWEETS",32
NA,57600,"TWEETS",26
NA,58500,"TWEETS",32
