"score","formatted","label","num_tweets"
0,76354,"Chargers",NA
0,76397,"Chargers",NA
0,77256,"Chargers",NA
6,78110,"Chargers",NA
7,78150,"Chargers",NA
13,79237,"Chargers",NA
14,79279,"Chargers",NA
20,79766,"Chargers",NA
21,79811,"Chargers",NA
27,80899,"Chargers",NA
28,80965,"Chargers",NA
34,82549,"Chargers",NA
35,82786,"Chargers",NA
41,83672,"Chargers",NA
42,83716,"Chargers",NA
45,85229,"Chargers",NA
6,76354,"Cardinals",NA
7,76397,"Cardinals",NA
10,77256,"Cardinals",NA
10,78110,"Cardinals",NA
10,78150,"Cardinals",NA
10,79237,"Cardinals",NA
10,79279,"Cardinals",NA
10,79766,"Cardinals",NA
10,79811,"Cardinals",NA
10,80899,"Cardinals",NA
10,80965,"Cardinals",NA
10,82549,"Cardinals",NA
10,82786,"Cardinals",NA
10,83672,"Cardinals",NA
10,83716,"Cardinals",NA
10,85229,"Cardinals",NA
NA,47762,"TWEETS",1
NA,48482,"TWEETS",1
NA,50642,"TWEETS",1
NA,51362,"TWEETS",1
NA,52082,"TWEETS",2
NA,52802,"TWEETS",4
NA,53522,"TWEETS",3
NA,55682,"TWEETS",3
NA,56402,"TWEETS",5
NA,57122,"TWEETS",5
