"score","formatted","label","num_tweets"
6,67741,"Packers",NA
7,67812,"Packers",NA
7,68905,"Packers",NA
7,68947,"Packers",NA
10,69961,"Packers",NA
10,72674,"Packers",NA
10,73140,"Packers",NA
10,73186,"Packers",NA
16,74847,"Packers",NA
17,74884,"Packers",NA
17,75744,"Packers",NA
0,67741,"Cardinals",NA
0,67812,"Cardinals",NA
6,68905,"Cardinals",NA
7,68947,"Cardinals",NA
7,69961,"Cardinals",NA
10,72674,"Cardinals",NA
16,73140,"Cardinals",NA
17,73186,"Cardinals",NA
17,74847,"Cardinals",NA
17,74884,"Cardinals",NA
20,75744,"Cardinals",NA
NA,44387,"TWEETS",3
NA,45407,"TWEETS",2
NA,47447,"TWEETS",2
NA,48467,"TWEETS",1
NA,49487,"TWEETS",4
NA,50507,"TWEETS",1
NA,51527,"TWEETS",6
NA,52547,"TWEETS",9
NA,53567,"TWEETS",3
