"score","formatted","label","num_tweets"
6,59664,"Patriots",NA
7,59706,"Patriots",NA
10,61995,"Patriots",NA
10,63492,"Patriots",NA
10,63534,"Patriots",NA
10,66512,"Patriots",NA
16,66800,"Patriots",NA
17,66846,"Patriots",NA
23,67557,"Patriots",NA
24,67599,"Patriots",NA
0,59664,"Vikings",NA
0,59706,"Vikings",NA
0,61995,"Vikings",NA
6,63492,"Vikings",NA
7,63534,"Vikings",NA
10,66512,"Vikings",NA
10,66800,"Vikings",NA
10,66846,"Vikings",NA
10,67557,"Vikings",NA
10,67599,"Vikings",NA
NA,59238,"TWEETS",65
NA,60678,"TWEETS",66
NA,62118,"TWEETS",55
NA,63558,"TWEETS",62
NA,64998,"TWEETS",57
NA,66438,"TWEETS",56
NA,67878,"TWEETS",49
NA,69318,"TWEETS",69
NA,70758,"TWEETS",150
NA,72198,"TWEETS",116
