"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"All hail The Queen!
Claire Foy hosts #SNL tonight. https://t.co/gpT3NOmSfH",FALSE,3,NA,2018-12-01 23:58:00,FALSE,NA,"1069017803632586752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ninatypewriter",0,FALSE,FALSE,NA,NA
"@GrittyNHL should host @nbcsnl Saturday Night Live #snl #gritty #youknowimright",FALSE,0,"GrittyNHL",2018-12-01 23:56:21,FALSE,NA,"1069017390556606464","1038096516727099393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlsoKnownAsTex",0,FALSE,FALSE,NA,NA
"New #SNL tonight on WNKY NBC 40! 😂 https://t.co/Wz51ruCfiT",FALSE,0,NA,2018-12-01 23:55:05,FALSE,NA,"1069017069704921088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wnkytv",0,FALSE,FALSE,NA,NA
"RT @Nimasema: @100_Disable_vet @CHHolte Unless you regularly wrote for the #LateShow and/or #SNL",FALSE,0,NA,2018-12-01 23:50:20,FALSE,NA,"1069015874873552899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CHHolte",1,TRUE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:50:18,FALSE,NA,"1069015864085745664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeslieJonesFans",1156,TRUE,FALSE,NA,NA
"RT @nbcsnl: Claire Foy hosts #SNL this weekend with musical guest @AndersonPaak! 🎉 https://t.co/jl6A2K5O3C",FALSE,0,NA,2018-12-01 23:50:02,FALSE,NA,"1069015800386744320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Numa4numa",120,TRUE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:49:00,FALSE,NA,"1069015539463401472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jost_che",1156,TRUE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:48:06,FALSE,NA,"1069015311934881792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","feelkindafree",1156,TRUE,FALSE,NA,NA
"@100_Disable_vet @CHHolte Unless you regularly wrote for the #LateShow and/or #SNL",FALSE,1,"100_Disable_vet",2018-12-01 23:43:58,FALSE,"1068861127264743424","1069014272850649089","946018506268700672","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nimasema",1,FALSE,FALSE,NA,NA
"RT @megmarcus: ""It's totally exaggerated. It's not me. Those crazy hand gestures."" The real #Bush41 vs. Dana Carvey on #SNL in 1994. VIDEO:…",FALSE,0,NA,2018-12-01 23:43:47,FALSE,NA,"1069014227459952641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lethargicpsycho",57,TRUE,FALSE,NA,NA
"@NRATV @OliverLNorth 🎵He’s Ollie North, the Mute Marine🎶 #SNL https://t.co/wBfQJCAlFm",FALSE,0,"NRATV",2018-12-01 23:43:43,FALSE,"1068614754837512192","1069014211139792896","17564591","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kitty_carey",0,FALSE,FALSE,NA,NA
"Waiting for my brakes to get fixed. Some #loudasslady on the phone comes into waiting room. I proved to play… https://t.co/73nz5NKGts",FALSE,1,NA,2018-12-01 23:42:25,TRUE,NA,"1069013880544870402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robbybad",0,FALSE,FALSE,NA,NA
"@nbcsnl @SNLUpdate #snl #nbc Baby it’s cold outside should be banned! Like dunh, everyone knows the new lyrics shou… https://t.co/iiC2EsjOHt",FALSE,0,"nbcsnl",2018-12-01 23:40:52,TRUE,NA,"1069013493494374400","28221296","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dubopp",0,FALSE,FALSE,NA,NA
"What do #OfficeSpace, garages &amp; #SNL have in common? All great #contentinspiration according to @CarlaJohnson… https://t.co/JH80rA5h4t",FALSE,1,NA,2018-12-01 23:40:49,TRUE,NA,"1069013479342915584",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","MuraExpPlatform",0,FALSE,FALSE,NA,NA
"RT @megmarcus: ""It's totally exaggerated. It's not me. Those crazy hand gestures."" The real #Bush41 vs. Dana Carvey on #SNL in 1994. VIDEO:…",FALSE,0,NA,2018-12-01 23:40:45,FALSE,NA,"1069013464679538690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DwayneNesmith",57,TRUE,FALSE,NA,NA
".@wilybo (Wily Bo Walker) is tonight's #musicguest on #SNL4fun #SNL ... come see and enjoy this #BluesRock giant an… https://t.co/Qkl79dkwCp",FALSE,1,NA,2018-12-01 23:40:04,TRUE,NA,"1069013290863476737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wilkravitz",1,FALSE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:35:59,FALSE,NA,"1069012263653130242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","siruhlee",1156,TRUE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:33:42,FALSE,NA,"1069011690325307394",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","47chakras",1156,TRUE,FALSE,NA,NA
"RT @nbcsnl: All in favor of a reboot? @theofficenbc #SNL https://t.co/JwckHypkYC",FALSE,0,NA,2018-12-01 23:31:40,FALSE,NA,"1069011176296775681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allimaefletch",108664,TRUE,FALSE,NA,NA
"Watching Gunsmoke on @insp_tv just recently realized I missed #SNL last week darn it!! https://t.co/raYuNsTZ6H",FALSE,1,NA,2018-12-01 23:28:02,FALSE,NA,"1069010263142277123",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MofoTurne",0,FALSE,FALSE,NA,NA
"RT @nbcsnl: *This is your reminder to watch #SNL tonight with Claire Foy and musical guest @AndersonPaak* https://t.co/y9M2hoyW2N",FALSE,0,NA,2018-12-01 23:24:42,FALSE,NA,"1069009425313267712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HarleyFoyDelRey",108,TRUE,FALSE,NA,NA
"Who else is excited for #SNL to smuggly mock #tRump tonight &amp; confirm what #trumpSupporters have been avoiding talk… https://t.co/CG8s9XKkLj",FALSE,3,NA,2018-12-01 23:20:55,TRUE,NA,"1069008473055211526",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","gregory_scepi",0,FALSE,FALSE,NA,NA
"RT @thedailybeast: When Dana Carvey impersonated George H.W. Bush on #SNL, he got invited to the White House—something that never would hap…",FALSE,0,NA,2018-12-01 23:19:07,FALSE,NA,"1069008019743223808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BBbunia",276,TRUE,FALSE,NA,NA
"RT @thedailybeast: When Dana Carvey impersonated George H.W. Bush on #SNL, he got invited to the White House—something that never would hap…",FALSE,0,NA,2018-12-01 23:15:25,FALSE,NA,"1069007088712671235",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RMACTAYLOR",276,TRUE,FALSE,NA,NA
"RT @nbcsnl: All in favor of a reboot? @theofficenbc #SNL https://t.co/JwckHypkYC",FALSE,0,NA,2018-12-01 23:15:08,FALSE,NA,"1069007016306319361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mappellegigi",108664,TRUE,FALSE,NA,NA
"COMMERCIAL FOR OCULUS SPECIFICALLY FOR INCOGNITO XXX AT STARBUCKS

#snl #snlbot #snlprediction @nbcsnl",FALSE,2,NA,2018-12-01 23:15:05,FALSE,NA,"1069007003618615297",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SNL_BOT",0,FALSE,FALSE,NA,NA
"RT @ThatWeekInSNL: This week, we're going all the back to season 2 for a #SNL holiday classic with Candice Bergen and Frank Zappa from 1976…",FALSE,0,NA,2018-12-01 23:13:44,FALSE,NA,"1069006665222184961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Professor_Andy",2,TRUE,FALSE,NA,NA
"#SNL at #RosebarSaturdays tonight!!! https://t.co/v5nAnXhZXI",FALSE,0,NA,2018-12-01 23:13:03,FALSE,NA,"1069006492752330753",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NATEHAWK",0,FALSE,FALSE,NA,NA
"RT @NODJATAR: #comey #snl #pbs #npr #nytimes #jamescomey #mueller #MuellerInvestigation #MuellerIsComing #ClintonFoundation #ClintonCrimeFa…",FALSE,0,NA,2018-12-01 23:11:08,FALSE,NA,"1069006009673248768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kellyana4u",1,TRUE,FALSE,NA,NA
"Esta noche #ClaireFoy (#TheCrown , #FirstMan) es la anfitriona de #SNL con #MattSmith como invitado musical. ¿Plane… https://t.co/qqbwDtAo3G",FALSE,0,NA,2018-12-01 23:10:04,TRUE,NA,"1069005739405074432",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","viraltvrd",0,FALSE,FALSE,NA,NA
"RT @hitech_guru: #ScooterBraun Told #ArianaGrande's #Fans to Cut the B.S. and Leave #PeteDavidson Alone https://t.co/mPnPHQ1CIS? #Fashion #…",FALSE,0,NA,2018-12-01 23:09:12,FALSE,NA,"1069005521221369857",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","guruhitek",1,TRUE,FALSE,NA,NA
"RT @AndersonPaak: #SNL This Saturday 💜 https://t.co/jPcGpMmApk",FALSE,0,NA,2018-12-01 23:09:10,FALSE,NA,"1069005516419055616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SteveCalderon85",1156,TRUE,FALSE,NA,NA
