"score","formatted","label","num_tweets"
6,49671,"Seahawks",NA
6,50007,"Seahawks",NA
12,50517,"Seahawks",NA
13,50564,"Seahawks",NA
19,53085,"Seahawks",NA
20,53127,"Seahawks",NA
20,53602,"Seahawks",NA
26,54502,"Seahawks",NA
27,54546,"Seahawks",NA
27,54931,"Seahawks",NA
27,54988,"Seahawks",NA
33,56816,"Seahawks",NA
34,56859,"Seahawks",NA
34,57082,"Seahawks",NA
34,57165,"Seahawks",NA
37,58193,"Seahawks",NA
43,58765,"Seahawks",NA
43,58859,"Seahawks",NA
0,49671,"49ers",NA
0,50007,"49ers",NA
0,50517,"49ers",NA
0,50564,"49ers",NA
0,53085,"49ers",NA
0,53127,"49ers",NA
3,53602,"49ers",NA
3,54502,"49ers",NA
3,54546,"49ers",NA
9,54931,"49ers",NA
10,54988,"49ers",NA
10,56816,"49ers",NA
10,56859,"49ers",NA
16,57082,"49ers",NA
16,57165,"49ers",NA
16,58193,"49ers",NA
16,58765,"49ers",NA
16,58859,"49ers",NA
NA,49152,"TWEETS",6
NA,49752,"TWEETS",4
NA,50352,"TWEETS",3
NA,50952,"TWEETS",2
NA,51552,"TWEETS",2
NA,52152,"TWEETS",5
NA,52752,"TWEETS",6
NA,53352,"TWEETS",8
NA,53952,"TWEETS",6
NA,54552,"TWEETS",7
NA,55152,"TWEETS",4
NA,55752,"TWEETS",4
NA,56352,"TWEETS",3
NA,56952,"TWEETS",10
NA,57552,"TWEETS",7
NA,58152,"TWEETS",8
NA,58752,"TWEETS",6
