"score","formatted","label","num_tweets"
0,76478,"Titans",NA
0,76789,"Titans",NA
0,76844,"Titans",NA
0,78338,"Titans",NA
0,79910,"Titans",NA
6,80406,"Titans",NA
6,80454,"Titans",NA
6,82495,"Titans",NA
12,83002,"Titans",NA
13,83048,"Titans",NA
13,84038,"Titans",NA
16,85231,"Titans",NA
19,85934,"Titans",NA
25,83100,"Titans",NA
26,87900,"Titans",NA
3,76478,"Jets",NA
9,76789,"Jets",NA
10,76844,"Jets",NA
13,78338,"Jets",NA
16,79910,"Jets",NA
16,80406,"Jets",NA
16,80454,"Jets",NA
19,82495,"Jets",NA
19,83002,"Jets",NA
19,83048,"Jets",NA
22,84038,"Jets",NA
22,85231,"Jets",NA
22,85934,"Jets",NA
22,83100,"Jets",NA
22,87900,"Jets",NA
NA,74319,"TWEETS",9
NA,75039,"TWEETS",12
NA,75759,"TWEETS",9
NA,76479,"TWEETS",12
NA,77199,"TWEETS",15
NA,77919,"TWEETS",7
NA,78639,"TWEETS",5
NA,79359,"TWEETS",10
NA,80079,"TWEETS",11
NA,80799,"TWEETS",11
NA,81519,"TWEETS",11
NA,82239,"TWEETS",11
NA,82959,"TWEETS",13
NA,83679,"TWEETS",11
NA,84399,"TWEETS",18
