"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @carlosgzz03: The Battle of GOOD VS EVIL 🔥
The APOCALYPSE is on tonight!!
@AHSFX

ARTwork by Me🔥

#AHSApocalypse
#AHS https://t.co/gZvVe…",FALSE,0,NA,2018-11-28 18:05:15,FALSE,NA,"1067841869063880704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carlosgzz03",962,TRUE,FALSE,NA,NA
"Eu tirei: Zoe Benson! E você? https://t.co/Xva55wUNzA #ahs #americanHorrorStory #bruxa via @Quizur_PT",FALSE,0,NA,2018-11-28 18:00:00,FALSE,NA,"1067840548587720704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nnxeo",0,FALSE,FALSE,NA,NA
"RT @poppoIIs: Which cast is the best at acting? 🌌

#AHS #Riverdale #GameofThrones #13ReasonsWhy 
{rt after you vote}",FALSE,0,NA,2018-11-28 17:58:57,FALSE,NA,"1067840283566583808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrettyRegal3_2",23,TRUE,FALSE,NA,NA
"I hope season 9 has better writers #AHS https://t.co/u3TZlfo4lN",FALSE,0,NA,2018-11-28 17:54:45,FALSE,NA,"1067839225482104833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shamar_Bryce",0,FALSE,FALSE,NA,NA
"RT @CeceCaryA: Which Sarah wore it better?

RT for Ms Venable
Like for Dahpne 

#AHS #AHSApocalypse #Scoobydoo https://t.co/yAFeJRDKyx",FALSE,0,NA,2018-11-28 17:54:35,FALSE,NA,"1067839183274815493",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessicalangeuk",23,TRUE,FALSE,NA,NA
"RT @AHS_FRA: Coven et Apocalypse arrivent à égalité en deuxième position sur Rotten Tomatoes avec un score de 83% ! #AHS #AHSApocalypse #AH…",FALSE,0,NA,2018-11-28 17:37:41,FALSE,NA,"1067834931949244416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuitg",37,TRUE,FALSE,NA,NA
"Join @jwallickjeweler for our charity fundraiser for the Arizona Humane Society in Sun City AZ THIS Sat. Dec. 01 fr… https://t.co/cYYAjGP95Y",FALSE,0,NA,2018-11-28 17:36:24,TRUE,NA,"1067834609260363776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jwallickjeweler",0,FALSE,FALSE,NA,NA
"American Horror ... S04E04 #AHS  #tvtime https://t.co/z5SHXvA7VD https://t.co/obXhG6jGg6",FALSE,0,NA,2018-11-28 17:30:27,FALSE,NA,"1067833111369695232",NA,"<a href=""https://www.tvtime.com"" rel=""nofollow"">TV Time, TV show tracker</a>","feeIddIovato",0,FALSE,FALSE,NA,NA
"RT @AHS_FRA: Ryan Murphy vient de teaser être en train de travailler sur un projet impliquant Darren Criss, Cody Fern et Finn Wittrock. Ser…",FALSE,0,NA,2018-11-28 17:30:22,FALSE,NA,"1067833090301730816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","preciouslyyy",50,TRUE,FALSE,NA,NA
"Hill House might return as #AHS style anthology @netflix https://t.co/06JJGElotT via @DigitalSpy",FALSE,1,NA,2018-11-28 17:29:11,FALSE,NA,"1067832790996140033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Strictly_Chris",0,FALSE,FALSE,NA,NA
"Classicos do Rock Podcast #0612 #TheBeatles #JohnLennon #ElvisPresley #TWD #ahs #spiderman #thegifte: https://t.co/i3tZkAoMVS via",FALSE,0,NA,2018-11-28 17:27:13,FALSE,NA,"1067832298400292865",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","jpfragosoneto",0,FALSE,FALSE,NA,NA
"RT @_AHSCentral: So now what? Guess it’s time to rewatch every season for the 3,000th time. #AHS https://t.co/ixWtCgZ4Zo",FALSE,0,NA,2018-11-28 17:18:08,FALSE,NA,"1067830009577046016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcusYouCutee",53,TRUE,FALSE,NA,NA
"I uploaded a new episode, ""Classicos do Rock Podcast #0612 #TheBeatles #JohnLennon #ElvisPresley #TWD #ahs… https://t.co/IkUD81mkvs",FALSE,1,NA,2018-11-28 17:16:05,TRUE,NA,"1067829496143900673",NA,"<a href=""https://www.spreaker.com"" rel=""nofollow"">Spreaker</a>","jpfragosoneto",0,FALSE,FALSE,NA,NA
"RT @_AHSCentral: So now what? Guess it’s time to rewatch every season for the 3,000th time. #AHS https://t.co/ixWtCgZ4Zo",FALSE,0,NA,2018-11-28 17:15:45,FALSE,NA,"1067829411884482562",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amyevans468",53,TRUE,FALSE,NA,NA
"RT @bisonsrfc: They say the hallmark of a rising Supreme is radiant, glowing health. Jonny obviously has a different destiny. #PhotoshopTue…",FALSE,0,NA,2018-11-28 17:06:19,FALSE,NA,"1067827037140893696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattDWoodman",1,TRUE,FALSE,NA,NA
"Thanks to our Facebook group friend for this. #AHS #AHSFX #AHSHotel #AHSCoven #FrancisConroy #MyrtleSnow #LizTaylor… https://t.co/SJvNYNY5qW",FALSE,0,NA,2018-11-28 17:01:26,TRUE,NA,"1067825806615945223",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","denisohareOnFB",0,FALSE,FALSE,NA,NA
"RT @poppoIIs: Which cast is the best at acting? 🌌

#AHS #Riverdale #GameofThrones #13ReasonsWhy 
{rt after you vote}",FALSE,0,NA,2018-11-28 17:00:14,FALSE,NA,"1067825506991652864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","westsidebow95",23,TRUE,FALSE,NA,NA
"Ho appena visto l'episodio S08E10 dal titolo ""Apocalypse Then"" di American Horror ...! #AHS  #tvtime… https://t.co/iTTBA8N80B",FALSE,0,NA,2018-11-28 16:56:20,TRUE,NA,"1067824523389607938",NA,"<a href=""https://www.tvtime.com"" rel=""nofollow"">TV Time, TV show tracker</a>","wizard83x",0,FALSE,FALSE,NA,NA
"Desde el 4 de diciembre Ryan Murphy (#AHS, #Glee, #Pose) tendrá una estrella en el Paseo de la Fama de Hollywood. https://t.co/wF2QEH2gW1",FALSE,1,NA,2018-11-28 16:55:34,FALSE,NA,"1067824332834029569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HablandoSerie",0,FALSE,FALSE,NA,NA
"RT @InkedBadWolf: New drawing of Michael and the Countess. #ahs #americanhorrorstory #drawing https://t.co/H1lCwG7rMM",FALSE,0,NA,2018-11-28 16:50:00,FALSE,NA,"1067822930866987009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JordyEspinel",240,TRUE,FALSE,NA,NA
"Furry OC : Michael Langdon.      #ahs #apocalypse #furryart https://t.co/E8ELlQm5tQ",FALSE,0,NA,2018-11-28 16:47:27,FALSE,NA,"1067822290669395969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcosPhillips",0,FALSE,FALSE,NA,NA
"RT @ShadyAHS: DM: AHS:

I really hope Lily Rabe and Francis Conroy have more significant roles in season 9.

They are both incredible actre…",FALSE,0,NA,2018-11-28 16:38:16,FALSE,NA,"1067819979746287616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","grwgioswine",81,TRUE,FALSE,NA,NA
"Tengo una relación amor-odio con #AHS Todas las temporadas no tienen pies ni cabeza, las sub-tramas son flojas, exc… https://t.co/2dQhobrwmD",FALSE,1,NA,2018-11-28 16:27:39,TRUE,NA,"1067817307521671169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yimeilpuntocom",0,FALSE,FALSE,NA,NA
"RT @_AHSCentral: So now what? Guess it’s time to rewatch every season for the 3,000th time. #AHS https://t.co/ixWtCgZ4Zo",FALSE,0,NA,2018-11-28 16:25:11,FALSE,NA,"1067816684415799296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drkskellington",53,TRUE,FALSE,NA,NA
"@marcuschown @NHAparty Take note Canada! The conservatives are planning to do the same to the Canadian health care… https://t.co/PFAfJkeAYg",FALSE,0,"marcuschown",2018-11-28 16:19:00,TRUE,"1067808292007804933","1067815129524260864","38205414","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mmcginn13",0,FALSE,FALSE,NA,NA
"BRINGING THIS VIDEO BACK I LOVE HER OMFG 😍😂 #AHS https://t.co/OMub1wItAf",FALSE,0,NA,2018-11-28 16:09:23,FALSE,NA,"1067812707569729539",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cerys_Emily_x",0,FALSE,FALSE,NA,NA
"RT @poppoIIs: Which cast is the best at acting? 🌌

#AHS #Riverdale #GameofThrones #13ReasonsWhy 
{rt after you vote}",FALSE,0,NA,2018-11-28 16:05:29,FALSE,NA,"1067811729218945025",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BarbieKlaus_TVD",23,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: AHS Roanoke:

I bet everyone thought Murder House was a living hell up until we saw Roanoke. the MOST tragic &amp; horrific l…",FALSE,0,NA,2018-11-28 16:02:25,FALSE,NA,"1067810956493889536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","panchitohs",21,TRUE,FALSE,NA,NA
"RT @xnfinitymonster: Hey, I’m new to stan twitter! I want to make some mutuals so like or rt if you stan:
-lady gaga
-katy perry
-ahs
-stra…",FALSE,0,NA,2018-11-28 15:47:00,FALSE,NA,"1067807077383335936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bendelabvcky",5,TRUE,FALSE,NA,NA
"RT @poppoIIs: Which cast is the best at acting? 🌌

#AHS #Riverdale #GameofThrones #13ReasonsWhy 
{rt after you vote}",FALSE,0,NA,2018-11-28 15:46:59,FALSE,NA,"1067807070316101635",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cutmychlorine_",23,TRUE,FALSE,NA,NA
"RT @poppoIIs: Which cast is the best at acting? 🌌

#AHS #Riverdale #GameofThrones #13ReasonsWhy 
{rt after you vote}",FALSE,0,NA,2018-11-28 15:45:33,FALSE,NA,"1067806709631062016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlishaKarmin",23,TRUE,FALSE,NA,NA
"RT @tatestot: how i've been lately #ahs https://t.co/NxKR0992w1",FALSE,0,NA,2018-11-28 15:28:24,FALSE,NA,"1067802393872617472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","langdins",26,TRUE,FALSE,NA,NA
"RT @InkedBadWolf: New drawing of Michael and the Countess. #ahs #americanhorrorstory #drawing https://t.co/H1lCwG7rMM",FALSE,0,NA,2018-11-28 15:25:02,FALSE,NA,"1067801547894128641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrigioMonsters",240,TRUE,FALSE,NA,NA
"RT @AhsImages: I run this account year round.   So I will be posting a meme from a different season Monday - Friday.  Until #AHS Season 9 s…",FALSE,0,NA,2018-11-28 15:23:47,FALSE,NA,"1067801232583077888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AhsBinge",17,TRUE,FALSE,NA,NA
