"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GoldCrucifix: I'm reading the ORIGINAL 60-pages #AHS Murder House (Pilot) script &amp; just look how they have described the characters (!)…",FALSE,0,NA,2018-11-21 23:58:51,FALSE,NA,"1065394137137102853",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Caleb_TheAriFan",33,TRUE,FALSE,NA,NA
".@AHSFX fans get caught up on season finale ""Apocalypse Then"" reading reporter @LilMissAnthropy's recap at… https://t.co/XTRA9xJ6Cz",FALSE,1,NA,2018-11-21 23:54:26,TRUE,NA,"1065393029517856768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StarryMag",1,FALSE,FALSE,NA,NA
"RT @carlosgzz03: The Battle of GOOD VS EVIL 🔥
The APOCALYPSE is on tonight!!
@AHSFX

ARTwork by Me🔥

#AHSApocalypse
#AHS https://t.co/gZvVe…",FALSE,0,NA,2018-11-21 23:53:13,FALSE,NA,"1065392719558787073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roneweskey",962,TRUE,FALSE,NA,NA
"#truestory #fionagoode #ahs https://t.co/M5ldd3pT7S",FALSE,0,NA,2018-11-21 23:52:28,FALSE,NA,"1065392532853612544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Maris1013",0,FALSE,FALSE,NA,NA
"RT @Salems_Witch: “She claims her grandmother told her that her bloodline stretches all the way back to Salem.” 
(#AHS RP)
(Not associated…",FALSE,0,NA,2018-11-21 23:49:18,FALSE,NA,"1065391734828470272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JWBabaYaga",66,TRUE,FALSE,NA,NA
"I've just watched episode S02E06 of American Horror ...! #AHS #INFERNOOOO #tvtime https://t.co/Ox2uCCq3Hj",FALSE,1,NA,2018-11-21 23:47:28,FALSE,NA,"1065391272830136320",NA,"<a href=""https://www.tvtime.com"" rel=""nofollow"">TV Time, TV show tracker</a>","ohkeshivar",0,FALSE,FALSE,NA,NA
"que bosta o final de american horror story 8 #ahs",FALSE,2,NA,2018-11-21 23:45:37,FALSE,NA,"1065390808977862657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lucasKMF",1,FALSE,FALSE,NA,NA
"RT @DCUTitansBrazil: EM CLIMA DE #AHS ASYLUM!! 

Titãs sofrem experiencias na promo do episódio 1x07, intitulado ""O Asilo"".

#DCUniverse #D…",FALSE,0,NA,2018-11-21 23:44:51,FALSE,NA,"1065390617650503681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","debochadoboy",32,TRUE,FALSE,NA,NA
"#AHS #Supreme #AmericanHorrorStory  LOL! https://t.co/1Urg10AidT",FALSE,0,NA,2018-11-21 23:44:27,FALSE,NA,"1065390514420232192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RRBallerina",0,FALSE,FALSE,NA,NA
"Но по #AHS я реально фанатела, очень нравились актёры и герои, влюблялась в Эвана Питерса (в общем, как и все) Пото… https://t.co/B6FW8gm0pv",FALSE,0,"iordandash",2018-11-21 23:42:46,TRUE,"1065389432029745152","1065390093228302336","909900128269553672","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iordandash",0,FALSE,FALSE,NA,NA
"RT @effingsupreme: —𝒲𝒽𝒶𝓉'𝓈 𝒶 '𝒮𝓊𝓅𝓇𝑒𝓂𝑒'?
—𝒴𝑜𝓊'𝓇𝑒 𝓵𝓸𝓸𝓴𝓲𝓷𝓰  𝒶𝓉 𝒽𝑒𝓇.
#AHS #AHSrp #CordeliaGoode https://t.co/46i9vMxFEF",FALSE,0,NA,2018-11-21 23:41:46,FALSE,NA,"1065389838831140866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beatnikgypsie",26,TRUE,FALSE,NA,NA
"Freue mich, dass ich bald wieder mit @Tsauslu #AHS Staffel 3 weitergucken kann. Kann den Auftritt von Stevie Nicks NICHT MEHR abwarten 😍❤️",FALSE,5,NA,2018-11-21 23:32:22,FALSE,NA,"1065387473549869057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1_D4v1d",0,FALSE,FALSE,NA,NA
"RT @DCUTitansBrazil: EM CLIMA DE #AHS ASYLUM!! 

Titãs sofrem experiencias na promo do episódio 1x07, intitulado ""O Asilo"".

#DCUniverse #D…",FALSE,0,NA,2018-11-21 23:32:04,FALSE,NA,"1065387397939109888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cadeavamp",32,TRUE,FALSE,NA,NA
"RT @TheWrap: Back to Murphyland? Connie Britton Tells Us If She'll Return to '9-1-1' or 'American Horror Story'

#AHS #AHSFX #911onFox #Dir…",FALSE,0,NA,2018-11-21 23:31:37,FALSE,NA,"1065387285712125952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MadameKInc",6,TRUE,FALSE,NA,NA
"RT @DCUTitansBrazil: EM CLIMA DE #AHS ASYLUM!! 

Titãs sofrem experiencias na promo do episódio 1x07, intitulado ""O Asilo"".

#DCUniverse #D…",FALSE,0,NA,2018-11-21 23:29:51,FALSE,NA,"1065386842785292288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joaofonseca295",32,TRUE,FALSE,NA,NA
"SARAH PAULSON SEM DÚVIDA E UMA DAS MELHORES DO ELENCO TODO DE #AHS",FALSE,1,NA,2018-11-21 23:28:45,FALSE,NA,"1065386564740616192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ueluizz",0,FALSE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

Leslie Grossman did a great job playing Coco. She had a lot of layers and development.

#AHS https://t.c…",FALSE,0,NA,2018-11-21 23:28:02,FALSE,NA,"1065386385446555648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Luchicola",33,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

Reading the comments I realized that people only enjoyed the finale bc of Jessica and Angela. Just like…",FALSE,0,NA,2018-11-21 23:26:43,FALSE,NA,"1065386053140271104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Luchicola",41,TRUE,FALSE,NA,NA
"🤯🤯🤯

#MichaelLangdon  #CodyFern  #AHS  #AHSApocalypse https://t.co/EBvluOSJDG",FALSE,3,NA,2018-11-21 23:25:27,FALSE,NA,"1065385733043703808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DarkYuna91",0,FALSE,FALSE,NA,NA
"RT @ShadyAHS: DM: AHS:

Looking back. Roanoke and Cult are so much better seasons than Apocalypse

#AHS #AHSApocalypse https://t.co/cczYKMf…",FALSE,0,NA,2018-11-21 23:25:22,FALSE,NA,"1065385714358063105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChinThoughts_",42,TRUE,FALSE,NA,NA
"RT @carlosgzz03: QUEENIE🖤🗡🔥
The Human Voodoo  Doll
ARTwork By Me❤
TAG: @GabbySidibe

_
#AHSAPOCALYPSE #AHS https://t.co/CrBso3hgBZ",FALSE,0,NA,2018-11-21 23:24:57,FALSE,NA,"1065385606300295170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","horroroanoke",110,TRUE,FALSE,NA,NA
"No #AHS tonight. What will I watch? 😩",FALSE,0,NA,2018-11-21 23:24:46,FALSE,NA,"1065385560800403456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndecisivePearl",0,FALSE,FALSE,NA,NA
"RT @SevenSins_Bts: Michael can light me on fire and I'd say thank you #AHSApocalypse #AHS #MichaelLangdon #CodyFern https://t.co/HQTtXMegAg",FALSE,0,NA,2018-11-21 23:24:34,FALSE,NA,"1065385513048190977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ally_Walker_",68,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

Billie’s acting has really improved and I’m so proud of her. 

Can people just stop hating on her and gi…",FALSE,0,NA,2018-11-21 23:23:53,FALSE,NA,"1065385337638330368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeelaAddams",59,TRUE,FALSE,NA,NA
"RT @helena3422: God is a woman 
#AHSApocalypse 
#AHS https://t.co/10DoDqt3yl",FALSE,0,NA,2018-11-21 23:23:48,FALSE,NA,"1065385320579969024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ally_Walker_",37,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

Apocalypse Then was by far the best finale since Asylum.

#AHS https://t.co/0SPteyfddj",FALSE,0,NA,2018-11-21 23:23:04,FALSE,NA,"1065385135015698433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeelaAddams",28,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

The scene of the identity spell was really awesome and made me cry! We can see the potential of Leslie!…",FALSE,0,NA,2018-11-21 23:22:56,FALSE,NA,"1065385101159215104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeelaAddams",12,TRUE,FALSE,NA,NA
"RT @ShadyAHS: DM: #AHSApocalypse:

Frances Conroy As Myrtle is the best thing to happen to AHS a true queen

#AHS https://t.co/BYOB2ZSLPe",FALSE,0,NA,2018-11-21 23:22:09,FALSE,NA,"1065384905188798464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeelaAddams",58,TRUE,FALSE,NA,NA
"This pic of me and my sister low key looks like Ms. Meade and Michael. #ahs #AHSApocalypse #antichrist @MrRPMurphy… https://t.co/GMqOLbcpin",FALSE,1,NA,2018-11-21 23:21:49,TRUE,NA,"1065384819004035072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chick_lawson",0,FALSE,FALSE,NA,NA
"One of the #AHSApocalypse showdowns. What were some of your favorite moments of @AHSFX Season 8? #AHS #Music https://t.co/hMhsEohuwf",FALSE,5,NA,2018-11-21 23:21:40,FALSE,NA,"1065384780341157888",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","macquayle",1,FALSE,FALSE,NA,NA
