"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"So #catfish come on at 8 and #BlackInkCrew come on at 9 yasssss really going to have my popcorn ready https://t.co/FUQ0oOUF9C",FALSE,0,NA,2018-11-28 23:59:46,FALSE,NA,"1067931083570855937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iiprettyduh",0,FALSE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:59:44,FALSE,NA,"1067931078122504192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brianasarah",1938,TRUE,FALSE,NA,NA
"RT @CatfishMTV: Use this: 

👩‍🎤: Dear Nev, I'm in love with someone I never met. Here’s the photo ✨🤵✨
🕵️: Hmm... sounds 🐟 but I'll help…",FALSE,0,NA,2018-11-28 23:58:59,FALSE,NA,"1067930886333583360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jazaloo",53,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:57:13,FALSE,NA,"1067930442962227200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kishalybrand",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:57:08,FALSE,NA,"1067930423823601669",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ForeverrrYours_",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:56:36,FALSE,NA,"1067930288427282433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rabecca_jae",1938,TRUE,FALSE,NA,NA
"@TheRealKamie Looking forward to your episode @TheRealKamie ! Going to be a great #Catfish season! 🥳",FALSE,5,"TheRealKamie",2018-11-28 23:55:23,FALSE,"1067918580929327104","1067929980368150529","280334933","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JaneCarrey23",0,FALSE,FALSE,NA,NA
"RT @CatfishMTV: .@NevSchulman and @JaneCarrey23 are on the search for Mike's mysterious love interest, but could Mike's curiosity put an en…",FALSE,0,NA,2018-11-28 23:53:44,FALSE,NA,"1067929568139452419",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DQ_the_Man",126,TRUE,FALSE,NA,NA
"@CatfishMTV Wait?! @NevSchulman’s Co-Host is @JaneCarrey23 aka the daughter of my comedy idol, @JimCarrey?! I’m so… https://t.co/PGIXSpx1lQ",FALSE,0,"CatfishMTV",2018-11-28 23:52:37,TRUE,NA,"1067929283878944770","487107103","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DQ_the_Man",0,FALSE,FALSE,NA,NA
"First I got #Survivor to watch tonight, then #Catfish right after! Whoa nelly...",FALSE,0,NA,2018-11-28 23:51:01,FALSE,NA,"1067928882437861376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FayeLemire",0,FALSE,FALSE,NA,NA
"RT @CatfishMTV: Use this: 

👩‍🎤: Dear Nev, I'm in love with someone I never met. Here’s the photo ✨🤵✨
🕵️: Hmm... sounds 🐟 but I'll help…",FALSE,0,NA,2018-11-28 23:50:27,FALSE,NA,"1067928738208243712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AthenaaSchmid",53,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:49:32,FALSE,NA,"1067928511657246720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaybird23_",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:48:33,FALSE,NA,"1067928263488663557",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kennadrayer",1938,TRUE,FALSE,NA,NA
"RT @Catfish_hox: Light &amp; Satisfying Our Blackened Catfish Salad!!! 
Only @ Catfish Hox!!! 
2595 Sandy Plains Rd. Marietta, GA 30066!!
Dine…",FALSE,0,NA,2018-11-28 23:48:28,FALSE,NA,"1067928240730370049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Catfish_hox",1,TRUE,FALSE,NA,NA
"Hey @NevSchulman ! Excited for the #Catfish premier tonight! You bring the popcorn! I'll bring the...between teeth… https://t.co/OrhBvb9mcd",FALSE,18,NA,2018-11-28 23:47:47,TRUE,NA,"1067928067136348160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JaneCarrey23",4,FALSE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:47:15,FALSE,NA,"1067927934395211777",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","night_cherries",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:46:59,FALSE,NA,"1067927866413916161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giobellax3",1938,TRUE,FALSE,NA,NA
"RT @CatfishMTV: .@NevSchulman and @JaneCarrey23 are on the search for Mike's mysterious love interest, but could Mike's curiosity put an en…",FALSE,0,NA,2018-11-28 23:44:29,FALSE,NA,"1067927238564241408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heysonia__",126,TRUE,FALSE,NA,NA
"Set reminder: @CatfishMTV 
I still want to be a co host! How do I do it?!! @NevSchulman #Catfish",FALSE,0,NA,2018-11-28 23:43:59,FALSE,NA,"1067927112303165442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","weirdsister3",0,FALSE,FALSE,NA,NA
"I’m excited for tonight’s episode of @CatfishMTV I really hope @cthagod is a guest host. 👏🏽👏🏽#Catfish better yet, w… https://t.co/SD7kUhn2rz",FALSE,1,NA,2018-11-28 23:43:50,TRUE,NA,"1067927073321353216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chellebelly88",0,FALSE,FALSE,NA,NA
"RT @CatfishMTV: Use this: 

👩‍🎤: Dear Nev, I'm in love with someone I never met. Here’s the photo ✨🤵✨
🕵️: Hmm... sounds 🐟 but I'll help…",FALSE,0,NA,2018-11-28 23:43:17,FALSE,NA,"1067926936717090818",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","megloveniall",53,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:41:06,FALSE,NA,"1067926385698750464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kendall_Hileman",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:39:46,FALSE,NA,"1067926050099904512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vickiwu__",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:38:54,FALSE,NA,"1067925834386849798",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeyTheresJay",1938,TRUE,FALSE,NA,NA
"If I was on #Catfish &amp; they were like “we did research...they’re probably not who you’re talking to...” in -3 secon… https://t.co/u1sOgg7UjN",FALSE,3,NA,2018-11-28 23:37:28,TRUE,NA,"1067925473643192320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AskAJAnything",0,FALSE,FALSE,NA,NA
"RT @MTV: .@NevSchulman and @JaneCarrey23 are on the search for Mike's mysterious love interest during tonight's episode of #Catfish at 9/8c…",FALSE,0,NA,2018-11-28 23:36:52,FALSE,NA,"1067925322174128128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wafture42",11,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:36:30,FALSE,NA,"1067925229241073664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmmaMiller21",1938,TRUE,FALSE,NA,NA
"RT @NevSchulman: No matter how mad you are, never call someone a fat ass Kelly Price. #Catfish #wednesdaywisdom",FALSE,0,NA,2018-11-28 23:36:24,FALSE,NA,"1067925205564252160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zuuccahello",1938,TRUE,FALSE,NA,NA
