"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@IAMJHUD #TheVoice Kennedy is on fire",FALSE,0,"IAMJHUD",2018-11-28 18:07:12,FALSE,NA,"1067842358295724032","33990291","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CarineLareau",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice",FALSE,0,"kelly_clarkson",2018-11-28 18:06:38,FALSE,NA,"1067842216633208834","23690344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Terlynn11",0,FALSE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 18:06:22,FALSE,NA,"1067842147418812416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexanderluggya",336,TRUE,FALSE,NA,NA
"Matt Buckler: Another Joye ride on ‘The Voice’ #MattBuckler #Airtime #opinion #TheVoice #KymberliJoye #WindsorCT… https://t.co/cpdPufAw51",FALSE,0,NA,2018-11-28 18:02:13,TRUE,NA,"1067841103573901313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JournalInquirer",0,FALSE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 18:00:06,FALSE,NA,"1067840570029162496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sharlhorton",122,TRUE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 17:58:00,FALSE,NA,"1067840042587090945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ron_buddha_6669",336,TRUE,FALSE,NA,NA
"#TheVoice should now be called ""The Votes."" Just sayin. #deandreinbottomtwoWTF",FALSE,0,NA,2018-11-28 17:57:42,FALSE,NA,"1067839968024743936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ready2swear",0,FALSE,FALSE,NA,NA
"@LynneaMoorer @kelly_clarkson Sorry to see you go from #TheVoice but you are still awesome! Keep up the good work!… https://t.co/WhNh1lusAp",FALSE,0,"LynneaMoorer",2018-11-28 17:54:36,TRUE,"1067663017347674114","1067839188970717185","878490450453078016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","txtambow",0,FALSE,FALSE,NA,NA
"#Bts The #holyspirit was moving on #thevoice stage....🙏🏽 @kymberlijoye each take kept getting more and more amazing. https://t.co/wcyWxhGXOI",FALSE,0,NA,2018-11-28 17:53:53,FALSE,NA,"1067839007243943936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HiHatOfficial",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice great night last night!! Good job!",FALSE,0,"kelly_clarkson",2018-11-28 17:52:23,FALSE,NA,"1067838628313931776","23690344","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HoofJeramy",0,FALSE,FALSE,NA,NA
"Omg this season is incredible. There are some amazing talent. Kennedy and Sara Grace girls I am rooting for you. Th… https://t.co/DvmXse71QW",FALSE,0,NA,2018-11-28 17:51:11,TRUE,NA,"1067838328651735041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshleyLJohnson5",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice last night was awesome! Congratulations on full team moving forward.",FALSE,0,"blakeshelton",2018-11-28 17:50:09,FALSE,NA,"1067838068932128769","14920785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HoofJeramy",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice",FALSE,0,"kelly_clarkson",2018-11-28 17:49:54,FALSE,NA,"1067838004767543296","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Corinne50268841",0,FALSE,FALSE,NA,NA
"RT @NBCVoicePolls: Which team gave the best performances at yesterday's #VoiceTop11?

@NBCTheVoice  @adamlevine @kelly_clarkson @IAMJHUD @b…",FALSE,0,NA,2018-11-28 17:49:39,FALSE,NA,"1067837943266582528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TammyDawes6",16,TRUE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 17:49:10,FALSE,NA,"1067837818599337985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shay4short",336,TRUE,FALSE,NA,NA
"RT @sergulumm: Sessiz sessiz çığlıklar içindeyim
Her yanım acı her yanım kederdeyim...
.
.
#SERGÜLÜM
#HerSözümSen
#sergulumfan #istanbul
#m…",FALSE,0,NA,2018-11-28 17:46:44,FALSE,NA,"1067837208521056256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","znur62923744",2,TRUE,FALSE,NA,NA
"RT @caireesa: So I was watching #TheVoice  with my mom &amp; it cut for the first commerial break I screamed with excitment OMG &amp; jumped around…",FALSE,0,NA,2018-11-28 17:46:36,FALSE,NA,"1067837175302021120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SecondAct",1,TRUE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 17:46:13,FALSE,NA,"1067837078606675969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","979Jamz",122,TRUE,FALSE,NA,NA
"OMG girl I love you and this is a hard show to watch cause all your girls are amazing. I wish I could see them all… https://t.co/7jiMiHEaiP",FALSE,0,NA,2018-11-28 17:46:13,TRUE,NA,"1067837077012660224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AshleyLJohnson5",0,FALSE,FALSE,NA,NA
"#ettajames #atlast #coachingvocal by #alaindamien #elitemusic #noplp #thevoice #chant https://t.co/FX0zYThjwZ",FALSE,0,NA,2018-11-28 17:45:21,FALSE,NA,"1067836861689798657",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","alaindamien",0,FALSE,FALSE,NA,NA
"RT @Rashtagmedia: 😵 Vous êtes impressionnés aussi ?? #TheVoice https://t.co/E8kLSUmmlj",FALSE,0,NA,2018-11-28 17:44:23,FALSE,NA,"1067836616599896065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SafSB1",1,TRUE,FALSE,NA,NA
"How amazing was @BrynnCartelli at the Boston Tree Lighting last night? #incredible #thevoice #bostonTreeLighting https://t.co/bFGC8zfiMv",FALSE,0,NA,2018-11-28 17:43:03,FALSE,NA,"1067836282372595712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","American_Rhino1",0,FALSE,FALSE,NA,NA
"@NBCTheVoice @adamlevine I’m praying @deandreknico is voted through straight til the end, he has #TheVoice",FALSE,0,"NBCTheVoice",2018-11-28 17:42:30,FALSE,NA,"1067836142291222529","216444984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeTeAime_Tori",0,FALSE,FALSE,NA,NA
"😵 Vous êtes impressionnés aussi ?? #TheVoice https://t.co/E8kLSUmmlj",FALSE,2,NA,2018-11-28 17:42:26,FALSE,NA,"1067836126071848960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rashtagmedia",1,FALSE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 17:41:42,FALSE,NA,"1067835940050268160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CourtStClair",122,TRUE,FALSE,NA,NA
"I love seeing how caring and supportive @kelly_clarkson is of all the contestants and even the other judges perform… https://t.co/sjz5V4I45f",FALSE,0,NA,2018-11-28 17:41:10,TRUE,NA,"1067835805123706880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KCMomSaysImFine",0,FALSE,FALSE,NA,NA
"#CountryMusic Now: Florida Georgia Line 
 This Is How We Roll https://t.co/LCG38jpO99 #Billboard #cma https://t.co/C4aGA5HK7P #TheVoice",FALSE,0,NA,2018-11-28 17:38:15,FALSE,NA,"1067835073951608832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CyberManin",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice",FALSE,0,"blakeshelton",2018-11-28 17:38:10,FALSE,NA,"1067835052396969984","14920785","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MoseidWilliam",0,FALSE,FALSE,NA,NA
"RT @duracelqc: @SenSanders @NoFascistLies #TheBern no doubt you know Saudi are Sunni's Muslim, Saddam and #ISIS are the same. Killing women…",FALSE,0,NA,2018-11-28 17:37:20,FALSE,NA,"1067834844128796672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AntonyPugh11",3,TRUE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 17:36:47,FALSE,NA,"1067834704873742336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nathanlock2000",122,TRUE,FALSE,NA,NA
"#TheVoice JHud team is where it's at. Magnificent!💕",FALSE,0,NA,2018-11-28 17:36:04,FALSE,NA,"1067834522656534528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chelsea_rae_k",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice

Getting a little shakey about the winner this season",FALSE,0,"blakeshelton",2018-11-28 17:34:30,FALSE,NA,"1067834127574011911","14920785","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","14Truthk",0,FALSE,FALSE,NA,NA
"@adamlevine #TheVoice

Getting a little shakey about the winner this season",FALSE,0,"adamlevine",2018-11-28 17:34:17,FALSE,NA,"1067834075971575808","58528137","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","14Truthk",0,FALSE,FALSE,NA,NA
"@IAMJHUD #TheVoice

Getting a little shakey about the winner this season",FALSE,0,"IAMJHUD",2018-11-28 17:34:08,FALSE,NA,"1067834038721933312","33990291","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","14Truthk",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice

Getting a little shakey about the winner this season",FALSE,0,"kelly_clarkson",2018-11-28 17:33:59,FALSE,NA,"1067833997886140421","23690344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","14Truthk",0,FALSE,FALSE,NA,NA
