"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @imreaganstrange: thank you @Lauren_Daigle for having the honor of singing this song on a national platform.  this song is my 💛! you’re…",FALSE,0,NA,2018-11-20 23:57:26,FALSE,NA,"1065031395653951488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlliEchlin",80,TRUE,FALSE,NA,NA
"I’m Already There (The Voice Performance) by Kirk Jay is #1 on iTunes The Voice Chart. https://t.co/R1OL7vXQvw #TheVoice",FALSE,0,NA,2018-11-20 23:54:44,FALSE,NA,"1065030715480301568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChrissyBookNerd",0,FALSE,FALSE,NA,NA
"RT @extratv: We made @BlakeShelton blush! 😊 (He and @GwenStefani are just too cute in their new holiday video!) Much more with all #TheVoic…",FALSE,0,NA,2018-11-20 23:52:59,FALSE,NA,"1065030273530818563",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_a_timida",131,TRUE,FALSE,NA,NA
"@LynneaMoorer wow it only took one week with miss @kelly_clarkson  and u did THAT . Congratulations #TheVoice",FALSE,0,"LynneaMoorer",2018-11-20 23:52:33,FALSE,NA,"1065030164550221824","878490450453078016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hichammeftah",0,FALSE,FALSE,NA,NA
"RT @kelly_clarkson: #theVoice @nbcthevoice 
✨
Mua: @gloglomakeup 
Hair: @RobertRamosProd 
Stylist: @cdicelove13 
Photo: @weisseubanks
Nails…",FALSE,0,NA,2018-11-20 23:52:13,FALSE,NA,"1065030083503628288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Victori44198141",286,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamBlake contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @blakesheltonf  #VoiceP…",FALSE,0,NA,2018-11-20 23:51:42,FALSE,NA,"1065029950539874306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ForeverBSer",8,TRUE,FALSE,NA,NA
"RT @kelly_clarkson: #theVoice @nbcthevoice 
✨
Mua: @gloglomakeup 
Hair: @RobertRamosProd 
Stylist: @cdicelove13 
Photo: @weisseubanks
Nails…",FALSE,0,NA,2018-11-20 23:51:06,FALSE,NA,"1065029799922425856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","llhawaii",286,TRUE,FALSE,NA,NA
"RT @kelly_clarkson: #theVoice @nbcthevoice 
✨
Mua: @gloglomakeup 
Hair: @RobertRamosProd 
Stylist: @cdicelove13 
Photo: @weisseubanks
Nails…",FALSE,0,NA,2018-11-20 23:50:53,FALSE,NA,"1065029748424941573",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BMW_7772",286,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which team gave the best performances at yesterday's #VoiceTop13 ?

@NBCTheVoice  @adamlevine @kelly_clarkson @IAMJHUD @…",FALSE,0,NA,2018-11-20 23:48:48,FALSE,NA,"1065029220794097664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TammyDawes6",19,TRUE,FALSE,NA,NA
"RT @davefenley: Thank you to everyone who voted!! Remember if you have to SAVE me tonight, you can only do so right here on Twitter and you…",FALSE,0,NA,2018-11-20 23:48:47,FALSE,NA,"1065029217958662144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VitaQuinn3",28,TRUE,FALSE,NA,NA
"RT @leebrice: Did y'all catch @davefenley perform #HardToLove on #TheVoice last night? There's a #rumor goin' round that he's gonna win the…",FALSE,0,NA,2018-11-20 23:47:57,FALSE,NA,"1065029006368530432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brianabiber2",66,TRUE,FALSE,NA,NA
"@NBCTheVoice I can't wait &amp; Good luck To @KymberliJoye, @officialchevel, @sgandthesoul, @itsMaKenzieT,… https://t.co/zZIidIyca0",FALSE,0,"NBCTheVoice",2018-11-20 23:46:08,TRUE,"1065016989322829825","1065028552771465217","216444984","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BalcazarJillian",0,FALSE,FALSE,NA,NA
"RT @extratv: We made @BlakeShelton blush! 😊 (He and @GwenStefani are just too cute in their new holiday video!) Much more with all #TheVoic…",FALSE,0,NA,2018-11-20 23:44:07,FALSE,NA,"1065028041687076865",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","n2468tn",131,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamBlake contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @blakesheltonf  #VoiceP…",FALSE,0,NA,2018-11-20 23:43:26,FALSE,NA,"1065027872476315649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wendy_BlakeGwen",8,TRUE,FALSE,NA,NA
"RT @rakhim_: Hi @LelaSings! I just finished drawing you. Hope you like it! #fanart #lelacartoon #thevoice https://t.co/SAzzWGA0pw",FALSE,0,NA,2018-11-20 23:43:17,FALSE,NA,"1065027833876135937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LelaSings",1,TRUE,FALSE,NA,NA
"@barrenfatboss Bwahahahahahahaha!!!!!!! Love #thevoice",FALSE,0,"barrenfatboss",2018-11-20 23:43:06,FALSE,"1064807876319895553","1065027785708584960","3302425341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","strike4schools",0,FALSE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamBlake contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @blakesheltonf  #VoiceP…",FALSE,0,NA,2018-11-20 23:42:27,FALSE,NA,"1065027624798494720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oldsongsplease",8,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which team gave the best performances at yesterday's #VoiceTop13 ?

@NBCTheVoice  @adamlevine @kelly_clarkson @IAMJHUD @…",FALSE,0,NA,2018-11-20 23:41:18,FALSE,NA,"1065027335676604416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheVoiceFan33",19,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamAdam contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @adamlevine  #VoicePlayo…",FALSE,0,NA,2018-11-20 23:41:11,FALSE,NA,"1065027305137831936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheVoiceFan33",1,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamKelly contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice @kelly_clarkson  #VoiceP…",FALSE,0,NA,2018-11-20 23:41:07,FALSE,NA,"1065027288343883777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheVoiceFan33",2,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamJHud contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @IAMJHUD  #VoicePlayoffs…",FALSE,0,NA,2018-11-20 23:41:01,FALSE,NA,"1065027262959935488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheVoiceFan33",2,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamBlake contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @blakesheltonf  #VoiceP…",FALSE,0,NA,2018-11-20 23:40:56,FALSE,NA,"1065027242953043969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheVoiceFan33",8,TRUE,FALSE,NA,NA
"RT @NBCVoicePolls: Which #TeamBlake contestant gave the best performance at yesterday's #VoiceTop13?

@NBCTheVoice  @blakesheltonf  #VoiceP…",FALSE,0,NA,2018-11-20 23:40:39,FALSE,NA,"1065027169515036672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Josh_therug",8,TRUE,FALSE,NA,NA
