"trend","url","country"
"#FlyEaglesFly","http://twitter.com/search?q=%23FlyEaglesFly","United States"
"Tumblr","http://twitter.com/search?q=Tumblr","United States"
"#ClimateTownHall","http://twitter.com/search?q=%23ClimateTownHall","United States"
"#UnlikelyMallKiosks","http://twitter.com/search?q=%23UnlikelyMallKiosks","United States"
"Sproles","http://twitter.com/search?q=Sproles","United States"
"#inners","http://twitter.com/search?q=%23inners","United States"
"Capitol","http://twitter.com/search?q=Capitol","United States"
"Nikola Jokic","http://twitter.com/search?q=%22Nikola+Jokic%22","United States"
"Tress Way","http://twitter.com/search?q=%22Tress+Way%22","United States"
"Josh Norman","http://twitter.com/search?q=%22Josh+Norman%22","United States"
"Courtney Lee","http://twitter.com/search?q=%22Courtney+Lee%22","United States"
"Heisman Trophy","http://twitter.com/search?q=%22Heisman+Trophy%22","United States"
"Baron Corbin","http://twitter.com/search?q=%22Baron+Corbin%22","United States"
"Felicity","http://twitter.com/search?q=Felicity","United States"
"#PumpRules","http://twitter.com/search?q=%23PumpRules","United States"
"Walt Bell","http://twitter.com/search?q=%22Walt+Bell%22","United States"
"Gary Harris","http://twitter.com/search?q=%22Gary+Harris%22","United States"
"Yandy","http://twitter.com/search?q=Yandy","United States"
"Alexa Bliss","http://twitter.com/search?q=%22Alexa+Bliss%22","United States"
"Steven Adams","http://twitter.com/search?q=%22Steven+Adams%22","United States"
"Riott Squad","http://twitter.com/search?q=%22Riott+Squad%22","United States"
"Sasha and Bayley","http://twitter.com/search?q=%22Sasha+and+Bayley%22","United States"
"Nick Ward","http://twitter.com/search?q=%22Nick+Ward%22","United States"
"Lane Johnson","http://twitter.com/search?q=%22Lane+Johnson%22","United States"
"Alexis Sky","http://twitter.com/search?q=%22Alexis+Sky%22","United States"
"Modric","http://twitter.com/search?q=Modric","United States"
"Kenny Goins","http://twitter.com/search?q=%22Kenny+Goins%22","United States"
"Brayden Point","http://twitter.com/search?q=%22Brayden+Point%22","United States"
"Capela","http://twitter.com/search?q=Capela","United States"
"Quora","http://twitter.com/search?q=Quora","United States"
"Scott Satterfield","http://twitter.com/search?q=%22Scott+Satterfield%22","United States"
"Kinkaid","http://twitter.com/search?q=Kinkaid","United States"
"Ronda","http://twitter.com/search?q=Ronda","United States"
"Ertz","http://twitter.com/search?q=Ertz","United States"
"Reggie Bullock","http://twitter.com/search?q=%22Reggie+Bullock%22","United States"
"Nerlens Noel","http://twitter.com/search?q=%22Nerlens+Noel%22","United States"
"Drummond","http://twitter.com/search?q=Drummond","United States"
"Miles Wood","http://twitter.com/search?q=%22Miles+Wood%22","United States"
"Scarlet Knights","http://twitter.com/search?q=%22Scarlet+Knights%22","United States"
"Stephen Curry","http://twitter.com/search?q=%22Stephen+Curry%22","United States"
"#TheNeighborhood","http://twitter.com/search?q=%23TheNeighborhood","United States"
"#VoiceTop10","http://twitter.com/search?q=%23VoiceTop10","United States"
"#MNFxESPN","http://twitter.com/search?q=%23MNFxESPN","United States"
"#TBLvsNJD","http://twitter.com/search?q=%23TBLvsNJD","United States"
"#Jeopardy","http://twitter.com/search?q=%23Jeopardy","United States"
"#WIpowergrab","http://twitter.com/search?q=%23WIpowergrab","United States"
"#YouKnowIHeardAbout","http://twitter.com/search?q=%23YouKnowIHeardAbout","United States"
"#CaptainMarvelTrailer","http://twitter.com/search?q=%23CaptainMarvelTrailer","United States"
"#RiideKDWBJingleBall","http://twitter.com/search?q=%23RiideKDWBJingleBall","United States"
"#SCCL2019","http://twitter.com/search?q=%23SCCL2019","United States"
"Arsalan Khawaja","http://twitter.com/search?q=%22Arsalan+Khawaja%22","Australia"
"Tumblr","http://twitter.com/search?q=Tumblr","Australia"
"#BallonDor","http://twitter.com/search?q=%23BallonDor","Australia"
"David Attenborough","http://twitter.com/search?q=%22David+Attenborough%22","Australia"
"Eagle Farm","http://twitter.com/search?q=%22Eagle+Farm%22","Australia"
"#smartenergysummit","http://twitter.com/search?q=%23smartenergysummit","Australia"
"#SocialCohesionReport","http://twitter.com/search?q=%23SocialCohesionReport","Australia"
"#jeraa2018","http://twitter.com/search?q=%23jeraa2018","Australia"
"#IDPWD2018","http://twitter.com/search?q=%23IDPWD2018","Australia"
"Craig Kelly","http://twitter.com/search?q=%22Craig+Kelly%22","Australia"
"Malcolm Turnbull","http://twitter.com/search?q=%22Malcolm+Turnbull%22","Australia"
"auchenflower","http://twitter.com/search?q=auchenflower","Australia"
"Informer 3838","http://twitter.com/search?q=%22Informer+3838%22","Australia"
"Liberal MPs","http://twitter.com/search?q=%22Liberal+MPs%22","Australia"
"Christmas","http://twitter.com/search?q=Christmas","Australia"
"Hawthorn","http://twitter.com/search?q=Hawthorn","Australia"
"Coronation Drive","http://twitter.com/search?q=%22Coronation+Drive%22","Australia"
"Paul Sherwen","http://twitter.com/search?q=%22Paul+Sherwen%22","Australia"
"Mitch Creek","http://twitter.com/search?q=%22Mitch+Creek%22","Australia"
"Billy Bragg","http://twitter.com/search?q=%22Billy+Bragg%22","Australia"
"Lawyer X","http://twitter.com/search?q=%22Lawyer+X%22","Australia"
"Nothing Breaks Like A Heart","http://twitter.com/search?q=%22Nothing+Breaks+Like+A+Heart%22","Australia"
"Milo Yiannopoulos","http://twitter.com/search?q=%22Milo+Yiannopoulos%22","Australia"
"The Australian","http://twitter.com/search?q=%22The+Australian%22","Australia"
"mark hughes","http://twitter.com/search?q=%22mark+hughes%22","Australia"
"PlayStation Classic","http://twitter.com/search?q=%22PlayStation+Classic%22","Australia"
"Wayne Bennett","http://twitter.com/search?q=%22Wayne+Bennett%22","Australia"
"#qanda","http://twitter.com/search?q=%23qanda","Australia"
"#OurEpiphanyJin","http://twitter.com/search?q=%23OurEpiphanyJin","Australia"
"#COP24","http://twitter.com/search?q=%23COP24","Australia"
"#IDPD","http://twitter.com/search?q=%23IDPD","Australia"
"#libspill","http://twitter.com/search?q=%23libspill","Australia"
"#AARE2018","http://twitter.com/search?q=%23AARE2018","Australia"
"#startupaus","http://twitter.com/search?q=%23startupaus","Australia"
"#7Yearsof5SOS","http://twitter.com/search?q=%237Yearsof5SOS","Australia"
"#devEM2018","http://twitter.com/search?q=%23devEM2018","Australia"
"#horror","http://twitter.com/search?q=%23horror","Australia"
"#doctorwho","http://twitter.com/search?q=%23doctorwho","Australia"
"#Girl","http://twitter.com/search?q=%23Girl","Australia"
"#Romance","http://twitter.com/search?q=%23Romance","Australia"
"#Coal","http://twitter.com/search?q=%23Coal","Australia"
"#markets","http://twitter.com/search?q=%23markets","Australia"
"#greens","http://twitter.com/search?q=%23greens","Australia"
"#dhdownunder2018","http://twitter.com/search?q=%23dhdownunder2018","Australia"
"#YOW18","http://twitter.com/search?q=%23YOW18","Australia"
"#bnetraffic","http://twitter.com/search?q=%23bnetraffic","Australia"
"#property","http://twitter.com/search?q=%23property","Australia"
"#gifyourownname","http://twitter.com/search?q=%23gifyourownname","Australia"
"#u19champs","http://twitter.com/search?q=%23u19champs","Australia"
"#PAKvNZ","http://twitter.com/search?q=%23PAKvNZ","Australia"
"Tumblr","http://twitter.com/search?q=Tumblr","Canada"
"#WeTheNorth","http://twitter.com/search?q=%23WeTheNorth","Canada"
"#oncivilsociety","http://twitter.com/search?q=%23oncivilsociety","Canada"
"Gary Bettman","http://twitter.com/search?q=%22Gary+Bettman%22","Canada"
"#FlyEaglesFly","http://twitter.com/search?q=%23FlyEaglesFly","Canada"
"#alturbanfutures","http://twitter.com/search?q=%23alturbanfutures","Canada"
"Atwal","http://twitter.com/search?q=Atwal","Canada"
"Nick Nurse","http://twitter.com/search?q=%22Nick+Nurse%22","Canada"
"Johnson Street Bridge","http://twitter.com/search?q=%22Johnson+Street+Bridge%22","Canada"
"City Council","http://twitter.com/search?q=%22City+Council%22","Canada"
"#BallonDor","http://twitter.com/search?q=%23BallonDor","Canada"
"Tyler Bertuzzi","http://twitter.com/search?q=%22Tyler+Bertuzzi%22","Canada"
"Modric","http://twitter.com/search?q=Modric","Canada"
"Chuck Fletcher","http://twitter.com/search?q=%22Chuck+Fletcher%22","Canada"
"David Saint-Jacques","http://twitter.com/search?q=%22David+Saint-Jacques%22","Canada"
"Josh Leivo","http://twitter.com/search?q=%22Josh+Leivo%22","Canada"
"Happy Hanukkah","http://twitter.com/search?q=%22Happy+Hanukkah%22","Canada"
"Christine Girard","http://twitter.com/search?q=%22Christine+Girard%22","Canada"
"Journée","http://twitter.com/search?q=Journ%C3%A9e","Canada"
"Adonis Stevenson","http://twitter.com/search?q=%22Adonis+Stevenson%22","Canada"
"Kawhi Leonard","http://twitter.com/search?q=%22Kawhi+Leonard%22","Canada"
"steelers","http://twitter.com/search?q=steelers","Canada"
"mike mccarthy","http://twitter.com/search?q=%22mike+mccarthy%22","Canada"
"Kathleen Wynne","http://twitter.com/search?q=%22Kathleen+Wynne%22","Canada"
"Lebreton Flats","http://twitter.com/search?q=%22Lebreton+Flats%22","Canada"
"Cold Outside","http://twitter.com/search?q=%22Cold+Outside%22","Canada"
"jim corcoran","http://twitter.com/search?q=%22jim+corcoran%22","Canada"
"Daniel Sprong","http://twitter.com/search?q=%22Daniel+Sprong%22","Canada"
"#IDPD2018","http://twitter.com/search?q=%23IDPD2018","Canada"
"#MondayMotivation","http://twitter.com/search?q=%23MondayMotivation","Canada"
"#tlmep","http://twitter.com/search?q=%23tlmep","Canada"
"#COP24","http://twitter.com/search?q=%23COP24","Canada"
"#WorldJuniors","http://twitter.com/search?q=%23WorldJuniors","Canada"
"#OurEpiphanyJin","http://twitter.com/search?q=%23OurEpiphanyJin","Canada"
"#yegwx","http://twitter.com/search?q=%23yegwx","Canada"
"#ShawnStadium","http://twitter.com/search?q=%23ShawnStadium","Canada"
"#exchangeyyz","http://twitter.com/search?q=%23exchangeyyz","Canada"
"#ticats","http://twitter.com/search?q=%23ticats","Canada"
"#ForumCCMM","http://twitter.com/search?q=%23ForumCCMM","Canada"
"#NeurIPS2018","http://twitter.com/search?q=%23NeurIPS2018","Canada"
"#QBConnect","http://twitter.com/search?q=%23QBConnect","Canada"
"#MusicMonday","http://twitter.com/search?q=%23MusicMonday","Canada"
"#CSEdWeek","http://twitter.com/search?q=%23CSEdWeek","Canada"
"#JingleBallNorth","http://twitter.com/search?q=%23JingleBallNorth","Canada"
"#ODGrece","http://twitter.com/search?q=%23ODGrece","Canada"
"#chanukah","http://twitter.com/search?q=%23chanukah","Canada"
"#villequebec","http://twitter.com/search?q=%23villequebec","Canada"
"#cgyvschi","http://twitter.com/search?q=%23cgyvschi","Canada"
"#MYActionsMatter","http://twitter.com/search?q=%23MYActionsMatter","Canada"
"#Chargers","http://twitter.com/search?q=%23Chargers","Canada"
"#TonightVMT","http://twitter.com/search?q=%23TonightVMT","Ireland"
"#Kylie","http://twitter.com/search?q=%23Kylie","Ireland"
"Tumblr","http://twitter.com/search?q=Tumblr","Ireland"
"Ballon","http://twitter.com/search?q=Ballon","Ireland"
"David Attenborough","http://twitter.com/search?q=%22David+Attenborough%22","Ireland"
"#mondaymotivation","http://twitter.com/search?q=%23mondaymotivation","Ireland"
"Mark Hughes","http://twitter.com/search?q=%22Mark+Hughes%22","Ireland"
"#IDPD2018","http://twitter.com/search?q=%23IDPD2018","Ireland"
"#SmurfitAwards","http://twitter.com/search?q=%23SmurfitAwards","Ireland"
"aer lingus","http://twitter.com/search?q=%22aer+lingus%22","Ireland"
"Christmas","http://twitter.com/search?q=Christmas","Ireland"
"fa cup","http://twitter.com/search?q=%22fa+cup%22","Ireland"
"Luka Modric","http://twitter.com/search?q=%22Luka+Modric%22","Ireland"
"Kildare","http://twitter.com/search?q=Kildare","Ireland"
"Brussels","http://twitter.com/search?q=Brussels","Ireland"
"everton","http://twitter.com/search?q=everton","Ireland"
"SInn Féin","http://twitter.com/search?q=%22SInn+F%C3%A9in%22","Ireland"
"Wayne Kierans","http://twitter.com/search?q=%22Wayne+Kierans%22","Ireland"
"apollo house","http://twitter.com/search?q=%22apollo+house%22","Ireland"
"Michael Ferris","http://twitter.com/search?q=%22Michael+Ferris%22","Ireland"
"Dancing With The Stars","http://twitter.com/search?q=%22Dancing+With+The+Stars%22","Ireland"
"Stamford Bridge","http://twitter.com/search?q=%22Stamford+Bridge%22","Ireland"
"divock origi","http://twitter.com/search?q=%22divock+origi%22","Ireland"
"Jordan Pickford","http://twitter.com/search?q=%22Jordan+Pickford%22","Ireland"
"spurs","http://twitter.com/search?q=spurs","Ireland"
"Tyson Fury","http://twitter.com/search?q=%22Tyson+Fury%22","Ireland"
"Ulster","http://twitter.com/search?q=Ulster","Ireland"
"Wilder","http://twitter.com/search?q=Wilder","Ireland"
"republic of ireland","http://twitter.com/search?q=%22republic+of+ireland%22","Ireland"
"Group D","http://twitter.com/search?q=%22Group+D%22","Ireland"
"munster","http://twitter.com/search?q=munster","Ireland"
"buveur d'air","http://twitter.com/search?q=%22buveur+d%27air%22","Ireland"
"Klopp","http://twitter.com/search?q=Klopp","Ireland"
"Limerick","http://twitter.com/search?q=Limerick","Ireland"
"#jobfairy","http://twitter.com/search?q=%23jobfairy","Ireland"
"#euro2020","http://twitter.com/search?q=%23euro2020","Ireland"
"#BookReview","http://twitter.com/search?q=%23BookReview","Ireland"
"#Advent","http://twitter.com/search?q=%23Advent","Ireland"
"#thetoughest","http://twitter.com/search?q=%23thetoughest","Ireland"
"#OWGR","http://twitter.com/search?q=%23OWGR","Ireland"
"#blogtour","http://twitter.com/search?q=%23blogtour","Ireland"
"#coybig","http://twitter.com/search?q=%23coybig","Ireland"
"#Strictly","http://twitter.com/search?q=%23Strictly","Ireland"
"#yellowvests","http://twitter.com/search?q=%23yellowvests","Ireland"
"#XFactor","http://twitter.com/search?q=%23XFactor","Ireland"
"#onthisday","http://twitter.com/search?q=%23onthisday","Ireland"
"#bitored","http://twitter.com/search?q=%23bitored","Ireland"
"#homesforall","http://twitter.com/search?q=%23homesforall","Ireland"
"#Kilkenny","http://twitter.com/search?q=%23Kilkenny","Ireland"
"#humanrights","http://twitter.com/search?q=%23humanrights","Ireland"
"Geoff Murphy","http://twitter.com/search?q=%22Geoff+Murphy%22","New Zealand"
"#gifyourownname","http://twitter.com/search?q=%23gifyourownname","New Zealand"
"Santa","http://twitter.com/search?q=Santa","New Zealand"
"#PAKvNZ","http://twitter.com/search?q=%23PAKvNZ","New Zealand"
"#cop24","http://twitter.com/search?q=%23cop24","New Zealand"
"#MatatuCBDBan","http://twitter.com/search?q=%23MatatuCBDBan","New Zealand"
"Hamilton","http://twitter.com/search?q=Hamilton","New Zealand"
"Petone","http://twitter.com/search?q=Petone","New Zealand"
"#clnz18","http://twitter.com/search?q=%23clnz18","New Zealand"
"Australia","http://twitter.com/search?q=Australia","New Zealand"
"Christmas","http://twitter.com/search?q=Christmas","New Zealand"
"parliament","http://twitter.com/search?q=parliament","New Zealand"
"Maggie Barry","http://twitter.com/search?q=%22Maggie+Barry%22","New Zealand"
"The Daily Blog","http://twitter.com/search?q=%22The+Daily+Blog%22","New Zealand"
"#kenyantraffic","http://twitter.com/search?q=%23kenyantraffic","New Zealand"
"#Auckland","http://twitter.com/search?q=%23Auckland","New Zealand"
"#BREAKING","http://twitter.com/search?q=%23BREAKING","New Zealand"
"#wherefootballfernsaremade","http://twitter.com/search?q=%23wherefootballfernsaremade","New Zealand"
"#ALDUBWithoutADoubt","http://twitter.com/search?q=%23ALDUBWithoutADoubt","Philippines"
"#OurEpiphanyJin","http://twitter.com/search?q=%23OurEpiphanyJin","Philippines"
"#PBBNalil8to","http://twitter.com/search?q=%23PBBNalil8to","Philippines"
"#TWBAKathrynUncensored","http://twitter.com/search?q=%23TWBAKathrynUncensored","Philippines"
"#ALDUBNationConquersAll","http://twitter.com/search?q=%23ALDUBNationConquersAll","Philippines"
"Iran","http://twitter.com/search?q=Iran","Philippines"
"Karina","http://twitter.com/search?q=Karina","Philippines"
"Mindanao","http://twitter.com/search?q=Mindanao","Philippines"
"Malacañang","http://twitter.com/search?q=Malaca%C3%B1ang","Philippines"
"gilas","http://twitter.com/search?q=gilas","Philippines"
"LTFRB","http://twitter.com/search?q=LTFRB","Philippines"
"UP Board of Regents","http://twitter.com/search?q=%22UP+Board+of+Regents%22","Philippines"
"Pangulong Duterte","http://twitter.com/search?q=%22Pangulong+Duterte%22","Philippines"
"June Mar","http://twitter.com/search?q=%22June+Mar%22","Philippines"
"Love Shot","http://twitter.com/search?q=%22Love+Shot%22","Philippines"
"President","http://twitter.com/search?q=President","Philippines"
"Maria Ressa","http://twitter.com/search?q=%22Maria+Ressa%22","Philippines"
"Washington","http://twitter.com/search?q=Washington","Philippines"
"star tollway","http://twitter.com/search?q=%22star+tollway%22","Philippines"
"AT GRADE","http://twitter.com/search?q=%22AT+GRADE%22","Philippines"
"Pagbabago","http://twitter.com/search?q=Pagbabago","Philippines"
"Satur Ocampo","http://twitter.com/search?q=%22Satur+Ocampo%22","Philippines"
"ASEAN","http://twitter.com/search?q=ASEAN","Philippines"
"Spocky Farolan","http://twitter.com/search?q=%22Spocky+Farolan%22","Philippines"
"Coach Yeng","http://twitter.com/search?q=%22Coach+Yeng%22","Philippines"
"Agape","http://twitter.com/search?q=Agape","Philippines"
"Momoland","http://twitter.com/search?q=Momoland","Philippines"
"Kamara","http://twitter.com/search?q=Kamara","Philippines"
"scottie thompson","http://twitter.com/search?q=%22scottie+thompson%22","Philippines"
"muntinlupa","http://twitter.com/search?q=muntinlupa","Philippines"
"Lumad","http://twitter.com/search?q=Lumad","Philippines"
"Supreme Court","http://twitter.com/search?q=%22Supreme+Court%22","Philippines"
"Antipolo","http://twitter.com/search?q=Antipolo","Philippines"
"#MondayMotivation","http://twitter.com/search?q=%23MondayMotivation","Philippines"
"#PBB3rdBig8tingLinggo","http://twitter.com/search?q=%23PBB3rdBig8tingLinggo","Philippines"
"#GOT7_Miracle","http://twitter.com/search?q=%23GOT7_Miracle","Philippines"
"#7YearsOf5SOS","http://twitter.com/search?q=%237YearsOf5SOS","Philippines"
